,g_means,diff_g_sums,cloud_percents,light_percents,flow_sums
p2_2,7.646580957204748,-204337.0,-0.2902319503269537,0.028264277867300458,-0.39304009456473077
p2_4,-14.051683057290973,-502321.0,-0.8339648720919425,-0.07229858012471096,-0.29990892129493785
p2_5,-2.294132219638726,-428539.0,-0.9559131856070517,-0.360264108046468,-0.5072733642362219
p2_6,3.5732382962578413,-796240.0,-0.9880585490822656,-0.29623590708173125,-0.6580274760809072
p2_10,-2.2030456165061594,-1828719.0,-0.9811795757923704,-0.46083120916591913,-1.421822191919142
p2_11,-17.31855513961284,140811.0,-0.5797128263782596,-0.28699858611215834,-0.07731383119031904
p2_12,-4.134348870259373,71401.0,-0.600949415583089,-0.03276929120404781,0.20722840754125782
p2_13,2.986024899133355,-578738.0,-0.9591502885253151,0.3635718701463746,-0.5390432539500707
p2_14,4.033262613387649,-888482.0,-0.7841648577850887,0.037611462055349265,-1.080114077132773
p2_15,-19.36721746914202,221796.0,-0.4982995041079469,-0.05386348649517281,-0.024787682575445526
